wrestler_id,shikona_en,shikona_jp,sumodb_id,nsk_id,current_rank,heya,birth_date,shusshin,height_cm,weight_kg,debut,jsa_profile_url
74,Atamifuji,熱海富士　朔太郎,12664,4055,Komusubi 1 West,Isegahama,2002-09-03T00:00:00Z,"Shizuoka-ken, Atami-shi",186.0,185.0,202011,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4055/
77,Hatsuyama,羽出山　将,12732,4124,Juryo 9 West,Tamanoi,1999-11-05T00:00:00Z,"Tokyo-to, Higashimurayama-shi",194.0,142.0,202203,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4124/
81,Tochitaikai,栃大海(とちたいかい),12448,3839,Makushita 1 West,Kasugano,1999-10-12T00:00:00Z,"Saitama-ken, Koshigaya-shi",193.0,163.0,201711,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3839/
82,Fujiseiun,藤青雲　龍輝,12702,4093,Maegashira 13 West,Fujishima,1997-12-05T00:00:00Z,"Saitama-ken, Asaka-shi - Kumamoto-ken, Kumamoto-shi, Nishi-ku",185.0,143.0,202103,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4093/
83,Tokihayate,時疾風　秀喜,12542,3933,Maegashira 9 East,Tokitsukaze,1996-08-25T00:00:00Z,"Miyagi-ken, Kurihara-shi",179.0,139.0,201903,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3933/
86,Shishi,獅司　大,12599,3990,Maegashira 11 East,Ikazuchi,1997-01-16T00:00:00Z,"Ukraine, Zaporizhia Oblast",193.0,166.0,202001,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3990/
89,Nishinoryu,西ノ龍　龍太朗,12523,3914,Juryo 4 East,Sakaigawa,2000-08-20T00:00:00Z,"Osaka-fu, Osaka-shi, Chuo-ku",181.0,132.0,201811,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3914/
95,Oshoumi,欧勝海　成矢,12634,4025,Maegashira 11 West,Naruto,2001-05-12T00:00:00Z,"Ishikawa-ken, Kahoku-gun, Tsubata-machi",184.0,150.0,202003,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4025/
98,Shirokuma,白熊　優太,12773,4164,Juryo 5 West,Nishonoseki,1999-05-25T00:00:00Z,"Fukushima-ken, Sukagawa-shi",186.0,167.0,202205,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4164/
101,Tamashoho,玉正鳳　萬平,11976,3367,Juryo 9 East,Kataonami,1993-03-06T00:00:00Z,"Mongolia, Ulaanbaatar",189.0,125.0,201107,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3367/
